timestamp,duration_minutes,age_range,gender,professional_experience,locality,work_mode,designation,previous_treatment,treatments,treatments_other,knowledge_score_raw,knowledge_total_raw,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,geo_scope,city_cluster,locality_detail,mapping_reason,normalized_input,k1_label,k1_is_correct,k2_label,k2_is_correct,k3_label,k3_is_correct,k4_label,k4_is_correct,k5_label,k5_is_correct,k6_label,k6_is_correct,k7_label,k7_is_correct,k8_label,k8_is_correct,k9_label,k9_is_correct,k10_label,k10_is_correct,knowledge_score,knowledge_pct,a1_score,a2_score,a3_score,a4_score,a5_score,a6_score,a7_score,a8_score,a9_score,a10_score,attitude_score,attitude_pct,p1_label,p1_score,p2_label,p2_score,p3_label,p3_score,p4_label,p4_score,p5_label,p5_score,p6_label,p6_score,p7_label,p7_score,p8_label,p8_score,p9_label,p9_score,p10_label,p10_score,practice_index,practice_pct,knowledge_practice_gap,attitude_practice_gap
2026-03-09 03:08:21.311000+00:00,4,30-40 years,Female,3-6 years,Trichy,Full time,Bds,No,,,0,10,1,0,2,0,3,0,3,1,3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,0,3,0,2,1,0,1,0,1,1,Outside Bangalore,Trichy,Trichy,outside Bangalore or no Bangalore marker,trichy,A soft film of bacteria and food debris on the teeth,1,Hard mineral deposit on the teeth,1,Bleeding gums while brushing,1,Dental plaque accumulation,1,Gum disease,1,Processed sugary foods and drinks,1,Vitamin D,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Periodontics,1,9,90.0,2,2,2,2,3,2,4,3,2,2,24,60.0,Twice a day,3,Mixed,1,Soft,3,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Dental floss,2,Once in 3 months,3,0-6 months ago,3,No,3,27,90.0,0.0,-30.0
2026-03-09 03:49:04.260000+00:00,5,30-40 years,Male,10-15 years,Kengeri,Full time,Software Engineer,Yes,Cleaning (Scaling),,0,10,2,1,2,1,3,0,2,1,3,2,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,0,3,2,2,1,0,2,0,3,1,Bangalore,Bangalore,Kengeri,exact Bangalore mapping: Kengeri,kengeri,Stains caused by coffee or tea,0,Stains caused by coffee or tea,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin C,1,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Periodontics,1,7,70.0,3,3,3,3,3,3,3,3,3,3,30,75.0,Twice a day,3,Mixed,1,Medium,1,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Toothpick,0,Once in 3 months,3,More than a year,1,No,3,21,70.0,0.0,5.0
2026-03-09 04:26:26.186000+00:00,8,20-30 years,Male,3-6 years,Bangalore,Full time,Manager,No,,,0,10,0,2,2,1,3,0,2,1,3,0,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,2,0,1,2,1,0,1,3,1,1,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified),bangalore,Hard mineral deposit on the teeth,0,A soft film of bacteria and food debris,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin C,1,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Orthodontics,0,6,60.0,4,3,3,4,3,3,2,4,3,4,33,82.5,Once a day,1,Circular,3,Ultrasoft,2,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Dental floss,2,When bristles wear out,2,0-6 months ago,3,No,3,25,83.33333333333334,-23.333333333333343,-0.8333333333333428
2026-03-09 05:24:55.532000+00:00,2,20-30 years,Female,3-6 years,Nagercoil,Full time,Senior developer,No,,,0,10,1,0,2,0,3,0,2,1,3,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,0,0,0,2,1,0,0,3,1,1,Outside Bangalore,Nagercoil,Nagercoil,outside Bangalore or no Bangalore marker,nagercoil,A soft film of bacteria and food debris on the teeth,1,Hard mineral deposit on the teeth,1,Bleeding gums while brushing,1,Dental plaque accumulation,1,Gum disease,1,Processed sugary foods and drinks,1,Vitamin C,1,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Periodontics,1,10,100.0,4,4,4,4,4,4,1,4,4,4,37,92.5,Twice a day,3,Circular,3,Soft,3,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Tongue scraper,1,When bristles wear out,2,0-6 months ago,3,No,3,27,90.0,10.0,2.5
2026-03-09 06:15:33.377000+00:00,3,30-40 years,Male,15+ years,Hyderabad,Full time,Project manager,Yes,Deep cleaning (Root planing),,0,10,3,1,3,2,3,0,1,3,3,0,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,0,0,0,2,1,0,2,0,3,1,Outside Bangalore,Hyderabad,Hyderabad,outside Bangalore or no Bangalore marker,hyderabad,Protective layer on the enamel,0,Stains caused by coffee or tea,0,Jaw pain,0,Tooth decay,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin B,0,It only affects the mouth and teeth,0,Development of gum disease due to inflammation,1,Orthodontics,0,3,30.0,2,2,2,3,2,2,2,2,3,3,23,57.49999999999999,Twice a day,3,Circular,3,Soft,3,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Toothpick,0,Once in 3 months,3,More than a year,1,No,3,25,83.33333333333334,-53.33333333333334,-25.83333333333335
2026-03-09 07:06:07.025000+00:00,8,40-50 years,Male,15+ years,Bengaluru,Work from home (Remote),Senior management,Yes,Cleaning (Scaling),,0,10,0,2,2,1,3,0,1,1,3,3,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,0,1,2,2,1,1,1,0,1,2,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified),bengaluru,Hard mineral deposit on the teeth,0,A soft film of bacteria and food debris,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin B,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Endodontics,0,5,50.0,4,3,2,3,3,3,3,3,3,3,30,75.0,Twice a day,3,Vertical,2,Medium,1,Both morning and night,3,1-3 minutes,3,Occasionally,2,Dental floss,2,Once in 3 months,3,0-6 months ago,3,Sometimes,1,23,76.66666666666667,-26.66666666666667,-1.6666666666666714
2026-03-09 07:39:38.629000+00:00,4,20-30 years,Male,3-6 years,Hsr layout,Full time,Lead Engineer,No,,,0,10,1,1,2,1,2,0,3,1,3,2,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,0,0,0,2,0,0,0,0,1,1,Bangalore,Bangalore,HSR Layout,exact Bangalore mapping: HSR Layout,hsr layout,A soft film of bacteria and food debris on the teeth,1,Stains caused by coffee or tea,0,Bleeding gums while brushing,1,Poor brushing technique,0,Cold beverages,0,Processed sugary foods and drinks,1,Vitamin D,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Periodontics,1,6,60.0,2,3,2,3,4,3,3,3,3,3,29,72.5,Twice a day,3,Circular,3,Soft,3,Both morning and night,3,Less than 1 minute,0,"Yes, everytime",3,Tongue scraper,1,Once in 3 months,3,0-6 months ago,3,No,3,25,83.33333333333334,-23.333333333333343,-10.833333333333343
2026-03-09 07:58:10.218000+00:00,9,30-40 years,Male,6-10 years,Indiranagar,Full time,TEAM LEAD,Yes,"Deep cleaning (Root planing), Cleaning (Scaling)",,0,10,1,2,2,2,3,0,3,1,3,1,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,0,0,0,0,1,0,2,1,1,1,Bangalore,Bangalore,Indiranagar,exact Bangalore mapping: Indiranagar,indiranagar,A soft film of bacteria and food debris on the teeth,1,A soft film of bacteria and food debris,0,Bleeding gums while brushing,1,Tooth decay,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin D,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Prosthodontics,0,6,60.0,1,2,2,2,3,2,2,3,2,1,20,50.0,Twice a day,3,Circular,3,Soft,3,Only morning,1,1-3 minutes,3,"Yes, everytime",3,Toothpick,0,Once in 6 months,1,0-6 months ago,3,No,3,23,76.66666666666667,-16.66666666666667,-26.66666666666667
2026-03-09 08:15:03.833000+00:00,144,20-30 years,Male,0-3 years,Bangalore,Hybrid,Software engineer,No,,,0,10,1,3,2,1,3,0,2,3,3,0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,0,3,1,2,1,1,3,0,3,1,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified),bangalore,A soft film of bacteria and food debris on the teeth,1,Protective layer on the enamel,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin C,1,It only affects the mouth and teeth,0,Development of gum disease due to inflammation,1,Orthodontics,0,6,60.0,3,3,3,3,3,3,3,3,2,3,29,72.5,Twice a day,3,Mixed,1,Ultrasoft,2,Both morning and night,3,1-3 minutes,3,Occasionally,2,Both scraper and floss,3,Once in 3 months,3,More than a year,1,No,3,24,80.0,-20.0,-7.5
2026-03-09 09:19:47.510000+00:00,4,20-30 years,Male,0-3 years,Chennai,Full time,Software developer,No,,,0,10,1,3,2,3,3,0,2,2,0,1,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,0,3,0,3,3,0,0,3,0,1,Outside Bangalore,Chennai,Chennai,outside Bangalore or no Bangalore marker,chennai,A soft film of bacteria and food debris on the teeth,1,Protective layer on the enamel,0,Bleeding gums while brushing,1,Lack of calcium,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin C,1,It lowers blood sugar levels,0,Increased salivary flow,0,Prosthodontics,0,5,50.0,3,3,3,3,3,3,3,1,3,3,28,70.0,Twice a day,3,Mixed,1,Soft,3,After lunch and breakfast,2,More than 5 minutes,1,"Yes, everytime",3,Tongue scraper,1,When bristles wear out,2,Never,0,No,3,19,63.33333333333333,-13.333333333333329,6.666666666666671
2026-03-09 10:12:43.347000+00:00,4,30-40 years,Female,6-10 years,Guduvancheri,Hybrid,MTS,No,,,0,10,0,2,2,1,3,0,1,2,3,2,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,0,3,1,0,1,1,0,1,2,1,Outside Bangalore,Guduvancheri,Guduvancheri,outside Bangalore or no Bangalore marker,guduvancheri,Hard mineral deposit on the teeth,0,A soft film of bacteria and food debris,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin B,0,It lowers blood sugar levels,0,Development of gum disease due to inflammation,1,Periodontics,1,5,50.0,3,3,2,3,3,3,3,3,2,3,28,70.0,Twice a day,3,Mixed,1,Ultrasoft,2,Only morning,1,1-3 minutes,3,Occasionally,2,Tongue scraper,1,Once in 6 months,1,7-12 months ago,2,No,3,19,63.33333333333333,-13.333333333333329,6.666666666666671
2026-03-09 11:04:05.507000+00:00,5,50-60 years,Male,15+ years,Gottigere,Full time,Manager,No,,,0,10,1,0,0,1,3,0,3,1,3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,0,0,0,2,1,0,1,0,0,0,Bangalore,Bangalore,Gottigere,exact Bangalore mapping: Gottigere,gottigere,A soft film of bacteria and food debris on the teeth,1,Hard mineral deposit on the teeth,1,White spots on the teeth,0,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin D,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Periodontics,1,7,70.0,2,2,2,2,3,2,2,2,3,3,23,57.49999999999999,Twice a day,3,Circular,3,Soft,3,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Dental floss,2,Once in 3 months,3,Never,0,Yes,0,23,76.66666666666667,-6.666666666666671,-19.16666666666668
2026-03-09 12:17:19.900000+00:00,6,20-30 years,Male,3-6 years,Bangalore,Full time,Automation engineer,No,,,0,10,2,1,2,1,3,0,3,0,0,1,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,0,0,0,2,1,0,0,0,3,3,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified),bangalore,Stains caused by coffee or tea,0,Stains caused by coffee or tea,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin D,0,It boosts immunity,0,Increased salivary flow,0,Prosthodontics,0,3,30.0,2,2,4,3,2,2,3,2,2,3,25,62.5,Twice a day,3,Circular,3,Soft,3,Both morning and night,3,1-3 minutes,3,"Yes, everytime",3,Tongue scraper,1,Once in 3 months,3,More than a year,1,Have quit,2,25,83.33333333333334,-53.33333333333334,-20.833333333333343
2026-03-09 13:28:39.638000+00:00,22,40-50 years,Male,15+ years,Bengaluru,Work from home (Remote),Senior management,Yes,Cleaning (Scaling),,0,10,0,2,2,1,3,0,1,1,3,3,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,0,1,2,2,1,1,1,0,1,2,Bangalore,Bangalore,Bangalore (Unspecified),exact Bangalore mapping: Bangalore (Unspecified),bengaluru,Hard mineral deposit on the teeth,0,A soft film of bacteria and food debris,0,Bleeding gums while brushing,1,Poor brushing technique,0,Gum disease,1,Processed sugary foods and drinks,1,Vitamin B,0,It can contribute to heart disease and diabetes,1,Development of gum disease due to inflammation,1,Endodontics,0,5,50.0,4,3,2,3,3,3,3,3,3,3,30,75.0,Twice a day,3,Vertical,2,Medium,1,Both morning and night,3,1-3 minutes,3,Occasionally,2,Dental floss,2,Once in 3 months,3,0-6 months ago,3,Sometimes,1,23,76.66666666666667,-26.66666666666667,-1.6666666666666714
2026-03-09 13:55:26.970000+00:00,6,20-30 years,Male,0-3 years,Chennai,Full time,Software Engineer,No,,,0,10,2,0,3,1,0,0,3,3,1,0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,0,2,1,2,2,0,0,2,0,0,Outside Bangalore,Chennai,Chennai,outside Bangalore or no Bangalore marker,chennai,Stains caused by coffee or tea,0,Hard mineral deposit on the teeth,1,Jaw pain,0,Poor brushing technique,0,Frequent brushing,0,Processed sugary foods and drinks,1,Vitamin D,0,It only affects the mouth and teeth,0,Improved oral hygiene habits,0,Orthodontics,0,2,20.0,2,4,4,4,3,3,2,2,2,3,29,72.5,Twice a day,3,Horizontal,0,Ultrasoft,2,Both morning and night,3,3-5 minutes,2,"Yes, everytime",3,Tongue scraper,1,Once in a year,0,Never,0,Yes,0,14,46.666666666666664,-26.666666666666664,25.833333333333336
