dataset,model,formula,n_obs,r_squared,adj_r_squared,aic,bic
augmented,knowledge_model,"knowledge_score ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No')) + C(sample_source, Treatment(reference='observed'))",251,0.23848673932407538,0.19671596975113437,1101.1759303520007,1150.5322714998456
augmented,attitude_model,"attitude_score ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No')) + knowledge_score + C(sample_source, Treatment(reference='observed'))",251,0.18967951106980574,0.14160965155699756,1459.3461787629428,1512.2279728499195
augmented,practice_model,"practice_index ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No')) + knowledge_score + attitude_score + C(sample_source, Treatment(reference='observed'))",251,0.3062250361457768,0.2619415278146562,1379.8001653761755,1436.207412402284
observed,knowledge_model,"knowledge_score ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No'))",101,0.24674548161214105,0.14402895637743296,467.05869017502334,501.0552568939597
observed,attitude_model,"attitude_score ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No')) + knowledge_score",101,0.23839303289802438,0.12458969298623501,608.5947870996497,645.2064743354273
observed,practice_model,"practice_index ~ C(age_range, Treatment(reference='20-30 years')) + C(gender, Treatment(reference='Male')) + C(professional_experience, Treatment(reference='0-3 years')) + C(work_mode, Treatment(reference='Full time')) + C(previous_treatment, Treatment(reference='No')) + knowledge_score + attitude_score",101,0.3230178359611606,0.2128114371641402,578.4749283685294,617.7017361211483
